Bretanha prop ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=, nextT=punc nextCap=null prev2W=null prev2T=null prev2Cap=null next2W=enquanto next2T=adv next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=Bretanha prevT=prop prevCap=maxmin nextW=enquanto nextT=adv nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=a next2T=art next2Cap=min palpite=O
enquanto adv ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=a nextT=art nextCap=min prev2W=Bretanha prev2T=prop prev2Cap=maxmin next2W=procura next2T=n next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=enquanto prevT=adv prevCap=min nextW=procura nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=por next2T=prp next2Cap=min palpite=O
procura n ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=por nextT=prp nextCap=min prev2W=enquanto prev2T=adv prev2Cap=min next2W=m next2T=n next2Cap=min palpite=O
por prp ini=ncap cap=min simb=alpha prevW=procura prevT=n prevCap=min nextW=m nextT=n nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=?s next2T=n next2Cap=null palpite=O
m n ini=ncap cap=min simb=alpha prevW=por prevT=prp prevCap=min nextW=?s nextT=n nextCap=null prev2W=procura prev2T=n prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=m prevT=n prevCap=min nextW=de nextT=prp nextCap=min prev2W=por prev2T=prp prev2Cap=min next2W=escrit next2T=n next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=escrit nextT=n nextCap=min prev2W=m prev2T=n prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
escrit n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=? nextT=punc nextCap=null prev2W=?s prev2T=n prev2Cap=null next2W=para next2T=prp next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=escrit prevT=n prevCap=min nextW=para nextT=prp nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=resid next2T=n next2Cap=min palpite=O
para prp ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=resid nextT=n nextCap=min prev2W=escrit prev2T=n prev2Cap=min next2W=?ias next2T=n next2Cap=null palpite=O
resid n ini=ncap cap=min simb=alpha prevW=para prevT=prp prevCap=min nextW=?ias nextT=n nextCap=null prev2W=? prev2T=punc prev2Cap=null next2W=aumentou next2T=v-fin next2Cap=min palpite=O
?ias n ini=simb cap=null simb=null prevW=resid prevT=n prevCap=min nextW=aumentou nextT=v-fin nextCap=min prev2W=para prev2T=prp prev2Cap=min next2W=40 next2T=num next2Cap=null palpite=O
aumentou v-fin ini=ncap cap=min simb=alpha prevW=?ias prevT=n prevCap=null nextW=40 nextT=num nextCap=null prev2W=resid prev2T=n prev2Cap=min next2W=% next2T=n next2Cap=null palpite=O
40 num ini=simb cap=null simb=num prevW=aumentou prevT=v-fin prevCap=min nextW=% nextT=n nextCap=null prev2W=?ias prev2T=n prev2Cap=null next2W=. next2T=punc next2Cap=null palpite=I_VALOR
% n ini=simb cap=null simb=null prevW=40 prevT=num prevCap=null nextW=. nextT=punc nextCap=null prev2W=aumentou prev2T=v-fin prev2Cap=min next2W=null next2T=null next2Cap=null palpite=I_VALOR
. punc ini=simb cap=null simb=null prevW=% prevT=n prevCap=null nextW=null nextT=null nextCap=null prev2W=40 prev2T=num prev2Cap=null next2W=null next2T=null next2Cap=null palpite=O
