As art ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=rela nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=?s next2T=n next2Cap=null palpite=O
rela n ini=ncap cap=min simb=alpha prevW=As prevT=art prevCap=maxmin nextW=?s nextT=n nextCap=null prev2W=null prev2T=null prev2Cap=null next2W=familiares next2T=n next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=rela prevT=n prevCap=min nextW=familiares nextT=n nextCap=min prev2W=As prev2T=art prev2Cap=maxmin next2W=acabaram next2T=v-fin next2Cap=min palpite=O
familiares n ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=acabaram nextT=v-fin nextCap=min prev2W=rela prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
acabaram v-fin ini=ncap cap=min simb=alpha prevW=familiares prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=?s prev2T=n prev2Cap=null next2W=em next2T=prp next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=acabaram prevT=v-fin prevCap=min nextW=em nextT=prp nextCap=min prev2W=familiares prev2T=n prev2Cap=min next2W=muitos next2T=pron-det next2Cap=min palpite=O
em prp ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=muitos nextT=pron-det nextCap=min prev2W=acabaram prev2T=v-fin prev2Cap=min next2W=lares next2T=n next2Cap=min palpite=O
muitos pron-det ini=ncap cap=min simb=alpha prevW=em prevT=prp prevCap=min nextW=lares nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=, next2T=punc next2Cap=null palpite=O
lares n ini=ncap cap=min simb=alpha prevW=muitos prevT=pron-det prevCap=min nextW=, nextT=punc nextCap=null prev2W=em prev2T=prp prev2Cap=min next2W=se next2T=pron-pers next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=lares prevT=n prevCap=min nextW=se nextT=pron-pers nextCap=min prev2W=muitos prev2T=pron-det prev2Cap=min next2W=transformando next2T=n next2Cap=min palpite=O
se pron-pers ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=transformando nextT=n nextCap=min prev2W=lares prev2T=n prev2Cap=min next2W=em next2T=prp next2Cap=min palpite=O
transformando n ini=ncap cap=min simb=alpha prevW=se prevT=pron-pers prevCap=min nextW=em nextT=prp nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=rela next2T=n next2Cap=min palpite=O
em prp ini=ncap cap=min simb=alpha prevW=transformando prevT=n prevCap=min nextW=rela nextT=n nextCap=min prev2W=se prev2T=pron-pers prev2Cap=min next2W=?s next2T=n next2Cap=null palpite=O
rela n ini=ncap cap=min simb=alpha prevW=em prevT=prp prevCap=min nextW=?s nextT=n nextCap=null prev2W=transformando prev2T=n prev2Cap=min next2W=burocr next2T=n next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=rela prevT=n prevCap=min nextW=burocr nextT=n nextCap=min prev2W=em prev2T=prp prev2Cap=min next2W=?cas next2T=n next2Cap=null palpite=O
burocr n ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=?cas nextT=n nextCap=null prev2W=rela prev2T=n prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
?cas n ini=simb cap=null simb=null prevW=burocr prevT=n prevCap=min nextW=. nextT=punc nextCap=null prev2W=?s prev2T=n prev2Cap=null next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=?cas prevT=n prevCap=null nextW=null nextT=null nextCap=null prev2W=burocr prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
