J prop ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=?ue nextT=n nextCap=null prev2W=null prev2T=null prev2Cap=null next2W=a next2T=art next2Cap=min palpite=O
?ue n ini=simb cap=null simb=null prevW=J prevT=prop prevCap=max nextW=a nextT=art nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=casa next2T=n next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=?ue prevT=n prevCap=null nextW=casa nextT=n nextCap=min prev2W=J prev2T=prop prev2Cap=max next2W=est next2T=n next2Cap=min palpite=O
casa n ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=est nextT=n nextCap=min prev2W=?ue prev2T=n prev2Cap=null next2W=?ada next2T=v-pcp next2Cap=null palpite=O
est n ini=ncap cap=min simb=alpha prevW=casa prevT=n prevCap=min nextW=?ada nextT=v-pcp nextCap=null prev2W=a prev2T=art prev2Cap=min next2W=vez next2T=n next2Cap=min palpite=O
?ada v-pcp ini=simb cap=null simb=null prevW=est prevT=n prevCap=min nextW=vez nextT=n nextCap=min prev2W=casa prev2T=n prev2Cap=min next2W=mais next2T=adv next2Cap=min palpite=O
vez n ini=ncap cap=min simb=alpha prevW=?ada prevT=v-pcp prevCap=null nextW=mais nextT=adv nextCap=min prev2W=est prev2T=n prev2Cap=min next2W=parecida next2T=n next2Cap=min palpite=O
mais adv ini=ncap cap=min simb=alpha prevW=vez prevT=n prevCap=min nextW=parecida nextT=n nextCap=min prev2W=?ada prev2T=v-pcp prev2Cap=null next2W=com next2T=prp next2Cap=min palpite=O
parecida n ini=ncap cap=min simb=alpha prevW=mais prevT=adv prevCap=min nextW=com nextT=prp nextCap=min prev2W=vez prev2T=n prev2Cap=min next2W=um next2T=art next2Cap=min palpite=O
com prp ini=ncap cap=min simb=alpha prevW=parecida prevT=n prevCap=min nextW=um nextT=art nextCap=min prev2W=mais prev2T=adv prev2Cap=min next2W=escrit next2T=n next2Cap=min palpite=O
um art ini=ncap cap=min simb=alpha prevW=com prevT=prp prevCap=min nextW=escrit nextT=n nextCap=min prev2W=parecida prev2T=n prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
escrit n ini=ncap cap=min simb=alpha prevW=um prevT=art prevCap=min nextW=? nextT=punc nextCap=null prev2W=com prev2T=prp prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
? punc ini=simb cap=null simb=null prevW=escrit prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=um prev2T=art prev2Cap=min next2W=as next2T=art next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=? prevT=punc prevCap=null nextW=as nextT=art nextCap=min prev2W=escrit prev2T=n prev2Cap=min next2W=pessoas next2T=n next2Cap=min palpite=O
as art ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=pessoas nextT=n nextCap=min prev2W=? prev2T=punc prev2Cap=null next2W=n next2T=n next2Cap=min palpite=O
pessoas n ini=ncap cap=min simb=alpha prevW=as prevT=art prevCap=min nextW=n nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=?precisam next2T=v-fin next2Cap=null palpite=O
n n ini=ncap cap=min simb=alpha prevW=pessoas prevT=n prevCap=min nextW=?precisam nextT=v-fin nextCap=null prev2W=as prev2T=art prev2Cap=min next2W=mais next2T=adv next2Cap=min palpite=O
?precisam v-fin ini=simb cap=null simb=null prevW=n prevT=n prevCap=min nextW=mais nextT=adv nextCap=min prev2W=pessoas prev2T=n prev2Cap=min next2W=se next2T=pron-pers next2Cap=min palpite=O
