Regatar prop ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=o nextT=art nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=ritual next2T=n next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=Regatar prevT=prop prevCap=maxmin nextW=ritual nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=das next2T=n next2Cap=min palpite=O
ritual n ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=das nextT=n nextCap=min prev2W=Regatar prev2T=prop prev2Cap=maxmin next2W=refei next2T=v-fin next2Cap=min palpite=O
das n ini=ncap cap=min simb=alpha prevW=ritual prevT=n prevCap=min nextW=refei nextT=v-fin nextCap=min prev2W=o prev2T=art prev2Cap=min next2W=?s next2T=n next2Cap=null palpite=O
refei v-fin ini=ncap cap=min simb=alpha prevW=das prevT=n prevCap=min nextW=?s nextT=n nextCap=null prev2W=ritual prev2T=n prev2Cap=min next2W=pode next2T=v-fin next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=refei prevT=v-fin prevCap=min nextW=pode nextT=v-fin nextCap=min prev2W=das prev2T=n prev2Cap=min next2W=parecer next2T=n next2Cap=min palpite=O
pode v-fin ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=parecer nextT=n nextCap=min prev2W=refei prev2T=v-fin prev2Cap=min next2W=tarefa next2T=n next2Cap=min palpite=O
parecer n ini=ncap cap=min simb=alpha prevW=pode prevT=v-fin prevCap=min nextW=tarefa nextT=n nextCap=min prev2W=?s prev2T=n prev2Cap=null next2W=dif next2T=n next2Cap=min palpite=O
tarefa n ini=ncap cap=min simb=alpha prevW=parecer prevT=n prevCap=min nextW=dif nextT=n nextCap=min prev2W=pode prev2T=v-fin prev2Cap=min next2W=?l next2T=n next2Cap=null palpite=O
dif n ini=ncap cap=min simb=alpha prevW=tarefa prevT=n prevCap=min nextW=?l nextT=n nextCap=null prev2W=parecer prev2T=n prev2Cap=min next2W=para next2T=prp next2Cap=min palpite=O
?l n ini=simb cap=null simb=null prevW=dif prevT=n prevCap=min nextW=para nextT=prp nextCap=min prev2W=tarefa prev2T=n prev2Cap=min next2W=quem next2T=pron-indp next2Cap=min palpite=O
para prp ini=ncap cap=min simb=alpha prevW=?l prevT=n prevCap=null nextW=quem nextT=pron-indp nextCap=min prev2W=dif prev2T=n prev2Cap=min next2W=trabalha next2T=n next2Cap=min palpite=O
quem pron-indp ini=ncap cap=min simb=alpha prevW=para prevT=prp prevCap=min nextW=trabalha nextT=n nextCap=min prev2W=?l prev2T=n prev2Cap=null next2W=e next2T=conj-c next2Cap=min palpite=O
trabalha n ini=ncap cap=min simb=alpha prevW=quem prevT=pron-indp prevCap=min nextW=e nextT=conj-c nextCap=min prev2W=para prev2T=prp prev2Cap=min next2W=almo next2T=n next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=trabalha prevT=n prevCap=min nextW=almo nextT=n nextCap=min prev2W=quem prev2T=pron-indp prev2Cap=min next2W=?fora next2T=n next2Cap=null palpite=O
almo n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=?fora nextT=n nextCap=null prev2W=trabalha prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
?fora n ini=simb cap=null simb=null prevW=almo prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=e prev2T=conj-c prev2Cap=min next2W=mas next2T=conj-c next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=?fora prevT=n prevCap=null nextW=mas nextT=conj-c nextCap=min prev2W=almo prev2T=n prev2Cap=min next2W=sempre next2T=adv next2Cap=min palpite=O
mas conj-c ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=sempre nextT=adv nextCap=min prev2W=?fora prev2T=n prev2Cap=null next2W=h next2T=n next2Cap=min palpite=O
sempre adv ini=ncap cap=min simb=alpha prevW=mas prevT=conj-c prevCap=min nextW=h nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=?e next2T=n next2Cap=null palpite=O
h n ini=ncap cap=min simb=alpha prevW=sempre prevT=adv prevCap=min nextW=?e nextT=n nextCap=null prev2W=mas prev2T=conj-c prev2Cap=min next2W=sobrar next2T=v-inf next2Cap=min palpite=O
?e n ini=simb cap=null simb=null prevW=h prevT=n prevCap=min nextW=sobrar nextT=v-inf nextCap=min prev2W=sempre prev2T=adv prev2Cap=min next2W=um next2T=art next2Cap=min palpite=O
sobrar v-inf ini=ncap cap=min simb=alpha prevW=?e prevT=n prevCap=null nextW=um nextT=art nextCap=min prev2W=h prev2T=n prev2Cap=min next2W=s next2T=n next2Cap=min palpite=O
um art ini=ncap cap=min simb=alpha prevW=sobrar prevT=v-inf prevCap=min nextW=s nextT=n nextCap=min prev2W=?e prev2T=n prev2Cap=null next2W=?do next2T=n next2Cap=null palpite=O
s n ini=ncap cap=min simb=alpha prevW=um prevT=art prevCap=min nextW=?do nextT=n nextCap=null prev2W=sobrar prev2T=v-inf prev2Cap=min next2W=ou next2T=conj-c next2Cap=min palpite=O
?do n ini=simb cap=null simb=null prevW=s prevT=n prevCap=min nextW=ou nextT=conj-c nextCap=min prev2W=um prev2T=art prev2Cap=min next2W=um next2T=art next2Cap=min palpite=O
ou conj-c ini=ncap cap=min simb=alpha prevW=?do prevT=n prevCap=null nextW=um nextT=art nextCap=min prev2W=s prev2T=n prev2Cap=min next2W=domingo next2T=n next2Cap=min palpite=O
um art ini=ncap cap=min simb=alpha prevW=ou prevT=conj-c prevCap=min nextW=domingo nextT=n nextCap=min prev2W=?do prev2T=n prev2Cap=null next2W=para next2T=prp next2Cap=min palpite=O
domingo n ini=ncap cap=min simb=alpha prevW=um prevT=art prevCap=min nextW=para nextT=prp nextCap=min prev2W=ou prev2T=conj-c prev2Cap=min next2W=redimir-se next2T=n next2Cap=null palpite=O
para prp ini=ncap cap=min simb=alpha prevW=domingo prevT=n prevCap=min nextW=redimir-se nextT=n nextCap=null prev2W=um prev2T=art prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
