Basta n ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=que nextT=conj-s nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=permane next2T=n next2Cap=min palpite=O
que conj-s ini=ncap cap=min simb=alpha prevW=Basta prevT=n prevCap=maxmin nextW=permane nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=? next2T=punc next2Cap=null palpite=O
permane n ini=ncap cap=min simb=alpha prevW=que prevT=conj-s prevCap=min nextW=? nextT=punc nextCap=null prev2W=Basta prev2T=n prev2Cap=maxmin next2W=junto next2T=adv next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=permane prevT=n prevCap=min nextW=junto nextT=adv nextCap=min prev2W=que prev2T=conj-s prev2Cap=min next2W=ao next2T=prp next2Cap=min palpite=O
junto adv ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=ao nextT=prp nextCap=min prev2W=permane prev2T=n prev2Cap=min next2W=corpo next2T=n next2Cap=min palpite=O
ao prp ini=ncap cap=min simb=alpha prevW=junto prevT=adv prevCap=min nextW=corpo nextT=n nextCap=min prev2W=? prev2T=punc prev2Cap=null next2W=visando next2T=v-ger next2Cap=min palpite=O
corpo n ini=ncap cap=min simb=alpha prevW=ao prevT=prp prevCap=min nextW=visando nextT=v-ger nextCap=min prev2W=junto prev2T=adv prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
visando v-ger ini=ncap cap=min simb=alpha prevW=corpo prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=ao prev2T=prp prev2Cap=min next2W=antes next2T=adv next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=visando prevT=v-ger prevCap=min nextW=antes nextT=adv nextCap=min prev2W=corpo prev2T=n prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
antes adv ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=de nextT=prp nextCap=min prev2W=visando prev2T=v-ger prev2Cap=min next2W=tudo next2T=pron-indp next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=antes prevT=adv prevCap=min nextW=tudo nextT=pron-indp nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=, next2T=punc next2Cap=null palpite=O
tudo pron-indp ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=, nextT=punc nextCap=null prev2W=antes prev2T=adv prev2Cap=min next2W=n next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=tudo prevT=pron-indp prevCap=min nextW=n nextT=n nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=?incomodar next2T=v-inf next2Cap=null palpite=O
n n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=?incomodar nextT=v-inf nextCap=null prev2W=tudo prev2T=pron-indp prev2Cap=min next2W=os next2T=art next2Cap=min palpite=O
?incomodar v-inf ini=simb cap=null simb=null prevW=n prevT=n prevCap=min nextW=os nextT=art nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=vizinho next2T=n next2Cap=min palpite=O
os art ini=ncap cap=min simb=alpha prevW=?incomodar prevT=v-inf prevCap=null nextW=vizinho nextT=n nextCap=min prev2W=n prev2T=n prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
vizinho n ini=ncap cap=min simb=alpha prevW=os prevT=art prevCap=min nextW=. nextT=punc nextCap=null prev2W=?incomodar prev2T=v-inf prev2Cap=null next2W=? next2T=punc next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=vizinho prevT=n prevCap=min nextW=? nextT=punc nextCap=null prev2W=os prev2T=art prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
? punc ini=simb cap=null simb=null prevW=. prevT=punc prevCap=null nextW=null nextT=null nextCap=null prev2W=vizinho prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
