Quando adv ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=s nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=?m next2T=n next2Cap=null palpite=O
s n ini=ncap cap=min simb=alpha prevW=Quando prevT=adv prevCap=maxmin nextW=?m nextT=n nextCap=null prev2W=null prev2T=null prev2Cap=null next2W=?direita next2T=n next2Cap=null palpite=O
?m n ini=simb cap=null simb=null prevW=s prevT=n prevCap=min nextW=?direita nextT=n nextCap=null prev2W=Quando prev2T=adv prev2Cap=maxmin next2W=est next2T=n next2Cap=min palpite=O
?direita n ini=simb cap=null simb=null prevW=?m prevT=n prevCap=null nextW=est nextT=n nextCap=min prev2W=s prev2T=n prev2Cap=min next2W=?cupada next2T=v-pcp next2Cap=null palpite=O
est n ini=ncap cap=min simb=alpha prevW=?direita prevT=n prevCap=null nextW=?cupada nextT=v-pcp nextCap=null prev2W=?m prev2T=n prev2Cap=null next2W=com next2T=prp next2Cap=min palpite=O
?cupada v-pcp ini=simb cap=null simb=null prevW=est prevT=n prevCap=min nextW=com nextT=prp nextCap=min prev2W=?direita prev2T=n prev2Cap=null next2W=a next2T=art next2Cap=min palpite=O
com prp ini=ncap cap=min simb=alpha prevW=?cupada prevT=v-pcp prevCap=null nextW=a nextT=art nextCap=min prev2W=est prev2T=n prev2Cap=min next2W=colher next2T=n next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=com prevT=prp prevCap=min nextW=colher nextT=n nextCap=min prev2W=?cupada prev2T=v-pcp prev2Cap=null next2W=, next2T=punc next2Cap=null palpite=O
colher n ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=, nextT=punc nextCap=null prev2W=com prev2T=prp prev2Cap=min next2W=a next2T=art next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=colher prevT=n prevCap=min nextW=a nextT=art nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=esquerda next2T=n next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=esquerda nextT=n nextCap=min prev2W=colher prev2T=n prev2Cap=min next2W=permanece next2T=v-fin next2Cap=min palpite=O
