A art ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=escolaridade nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=exigida next2T=v-pcp next2Cap=min palpite=O
escolaridade n ini=ncap cap=min simb=alpha prevW=A prevT=art prevCap=max nextW=exigida nextT=v-pcp nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=para next2T=prp next2Cap=min palpite=O
exigida v-pcp ini=ncap cap=min simb=alpha prevW=escolaridade prevT=n prevCap=min nextW=para nextT=prp nextCap=min prev2W=A prev2T=art prev2Cap=max next2W=os next2T=art next2Cap=min palpite=O
para prp ini=ncap cap=min simb=alpha prevW=exigida prevT=v-pcp prevCap=min nextW=os nextT=art nextCap=min prev2W=escolaridade prev2T=n prev2Cap=min next2W=cargos next2T=n next2Cap=min palpite=O
os art ini=ncap cap=min simb=alpha prevW=para prevT=prp prevCap=min nextW=cargos nextT=n nextCap=min prev2W=exigida prev2T=v-pcp prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
cargos n ini=ncap cap=min simb=alpha prevW=os prevT=art prevCap=min nextW=de nextT=prp nextCap=min prev2W=para prev2T=prp prev2Cap=min next2W=auxiliar next2T=n next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=cargos prevT=n prevCap=min nextW=auxiliar nextT=n nextCap=min prev2W=os prev2T=art prev2Cap=min next2W=censit next2T=n next2Cap=min palpite=O
auxiliar n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=censit nextT=n nextCap=min prev2W=cargos prev2T=n prev2Cap=min next2W=?o next2T=n next2Cap=null palpite=O
censit n ini=ncap cap=min simb=alpha prevW=auxiliar prevT=n prevCap=min nextW=?o nextT=n nextCap=null prev2W=de prev2T=prp prev2Cap=min next2W=administrativo next2T=adj next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=censit prevT=n prevCap=min nextW=administrativo nextT=adj nextCap=min prev2W=auxiliar prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
administrativo adj ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=, nextT=punc nextCap=null prev2W=censit prev2T=n prev2Cap=min next2W=agente next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=administrativo prevT=adj prevCap=min nextW=agente nextT=n nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=censit next2T=n next2Cap=min palpite=O
agente n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=censit nextT=n nextCap=min prev2W=administrativo prev2T=adj prev2Cap=min next2W=?o next2T=n next2Cap=null palpite=O
censit n ini=ncap cap=min simb=alpha prevW=agente prevT=n prevCap=min nextW=?o nextT=n nextCap=null prev2W=, prev2T=punc prev2Cap=null next2W=municipal next2T=adj next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=censit prevT=n prevCap=min nextW=municipal nextT=adj nextCap=min prev2W=agente prev2T=n prev2Cap=min next2W=e next2T=conj-c next2Cap=min palpite=O
municipal adj ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=e nextT=conj-c nextCap=min prev2W=censit prev2T=n prev2Cap=min next2W=agente next2T=n next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=municipal prevT=adj prevCap=min nextW=agente nextT=n nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=censit next2T=n next2Cap=min palpite=O
agente n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=censit nextT=n nextCap=min prev2W=municipal prev2T=adj prev2Cap=min next2W=?o next2T=n next2Cap=null palpite=O
censit n ini=ncap cap=min simb=alpha prevW=agente prevT=n prevCap=min nextW=?o nextT=n nextCap=null prev2W=e prev2T=conj-c prev2Cap=min next2W=supervisor next2T=n next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=censit prevT=n prevCap=min nextW=supervisor nextT=n nextCap=min prev2W=agente prev2T=n prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
supervisor n ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=? nextT=punc nextCap=null prev2W=censit prev2T=n prev2Cap=min next2W=n next2T=n next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=supervisor prevT=n prevCap=min nextW=n nextT=n nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=?l next2T=n next2Cap=null palpite=O
n n ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=?l nextT=n nextCap=null prev2W=supervisor prev2T=n prev2Cap=min next2W=m next2T=n next2Cap=min palpite=O
?l n ini=simb cap=null simb=null prevW=n prevT=n prevCap=min nextW=m nextT=n nextCap=min prev2W=? prev2T=punc prev2Cap=null next2W=?o next2T=n next2Cap=null palpite=O
m n ini=ncap cap=min simb=alpha prevW=?l prevT=n prevCap=null nextW=?o nextT=n nextCap=null prev2W=n prev2T=n prev2Cap=min next2W=completo next2T=n next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=m prevT=n prevCap=min nextW=completo nextT=n nextCap=min prev2W=?l prev2T=n prev2Cap=null next2W=. next2T=punc next2Cap=null palpite=O
completo n ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=. nextT=punc nextCap=null prev2W=m prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=completo prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=?o prev2T=n prev2Cap=null next2W=null next2T=null next2Cap=null palpite=O
