As art ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=taxas nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=custam next2T=v-fin next2Cap=min palpite=O
taxas n ini=ncap cap=min simb=alpha prevW=As prevT=art prevCap=maxmin nextW=custam nextT=v-fin nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=: next2T=punc next2Cap=null palpite=O
custam v-fin ini=ncap cap=min simb=alpha prevW=taxas prevT=n prevCap=min nextW=: nextT=punc nextCap=null prev2W=As prev2T=art prev2Cap=maxmin next2W=R$ next2T=n next2Cap=null palpite=O
: punc ini=simb cap=null simb=null prevW=custam prevT=v-fin prevCap=min nextW=R$ nextT=n nextCap=null prev2W=taxas prev2T=n prev2Cap=min next2W=17,00 next2T=num next2Cap=null palpite=O
R$ n ini=cap cap=null simb=null prevW=: prevT=punc prevCap=null nextW=17,00 nextT=num nextCap=null prev2W=custam prev2T=v-fin prev2Cap=min next2W=( next2T=punc next2Cap=null palpite=I_VALOR
17,00 num ini=simb cap=null simb=null prevW=R$ prevT=n prevCap=null nextW=( nextT=punc nextCap=null prev2W=: prev2T=punc prev2Cap=null next2W=auxiliar next2T=n next2Cap=min palpite=I_VALOR
( punc ini=simb cap=null simb=null prevW=17,00 prevT=num prevCap=null nextW=auxiliar nextT=n nextCap=min prev2W=R$ prev2T=n prev2Cap=null next2W=censit next2T=n next2Cap=min palpite=O
auxiliar n ini=ncap cap=min simb=alpha prevW=( prevT=punc prevCap=null nextW=censit nextT=n nextCap=min prev2W=17,00 prev2T=num prev2Cap=null next2W=?o next2T=n next2Cap=null palpite=O
censit n ini=ncap cap=min simb=alpha prevW=auxiliar prevT=n prevCap=min nextW=?o nextT=n nextCap=null prev2W=( prev2T=punc prev2Cap=null next2W=administrativo next2T=adj next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=censit prevT=n prevCap=min nextW=administrativo nextT=adj nextCap=min prev2W=auxiliar prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
administrativo adj ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=, nextT=punc nextCap=null prev2W=censit prev2T=n prev2Cap=min next2W=agente next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=administrativo prevT=adj prevCap=min nextW=agente nextT=n nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=censit next2T=n next2Cap=min palpite=O
agente n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=censit nextT=n nextCap=min prev2W=administrativo prev2T=adj prev2Cap=min next2W=?o next2T=n next2Cap=null palpite=O
censit n ini=ncap cap=min simb=alpha prevW=agente prevT=n prevCap=min nextW=?o nextT=n nextCap=null prev2W=, prev2T=punc prev2Cap=null next2W=municipal next2T=adj next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=censit prevT=n prevCap=min nextW=municipal nextT=adj nextCap=min prev2W=agente prev2T=n prev2Cap=min next2W=e next2T=conj-c next2Cap=min palpite=O
municipal adj ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=e nextT=conj-c nextCap=min prev2W=censit prev2T=n prev2Cap=min next2W=agente next2T=n next2Cap=min palpite=O
