Nada pron-indp ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=melhor nextT=adj nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=que next2T=conj-s next2Cap=min palpite=O
melhor adj ini=ncap cap=min simb=alpha prevW=Nada prevT=pron-indp prevCap=maxmin nextW=que nextT=conj-s nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=uma next2T=art next2Cap=min palpite=O
que conj-s ini=ncap cap=min simb=alpha prevW=melhor prevT=adj prevCap=min nextW=uma nextT=art nextCap=min prev2W=Nada prev2T=pron-indp prev2Cap=maxmin next2W=sala next2T=n next2Cap=min palpite=O
uma art ini=ncap cap=min simb=alpha prevW=que prevT=conj-s prevCap=min nextW=sala nextT=n nextCap=min prev2W=melhor prev2T=adj prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
sala n ini=ncap cap=min simb=alpha prevW=uma prevT=art prevCap=min nextW=, nextT=punc nextCap=null prev2W=que prev2T=conj-s prev2Cap=min next2W=uma next2T=art next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=sala prevT=n prevCap=min nextW=uma nextT=art nextCap=min prev2W=uma prev2T=art prev2Cap=min next2W=cozinha next2T=n next2Cap=min palpite=O
uma art ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=cozinha nextT=n nextCap=min prev2W=sala prev2T=n prev2Cap=min next2W=ou next2T=conj-c next2Cap=min palpite=O
cozinha n ini=ncap cap=min simb=alpha prevW=uma prevT=art prevCap=min nextW=ou nextT=conj-c nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=um next2T=art next2Cap=min palpite=O
ou conj-c ini=ncap cap=min simb=alpha prevW=cozinha prevT=n prevCap=min nextW=um nextT=art nextCap=min prev2W=uma prev2T=art prev2Cap=min next2W=banheiro next2T=n next2Cap=min palpite=O
um art ini=ncap cap=min simb=alpha prevW=ou prevT=conj-c prevCap=min nextW=banheiro nextT=n nextCap=min prev2W=cozinha prev2T=n prev2Cap=min next2W=colorido next2T=v-pcp next2Cap=min palpite=O
banheiro n ini=ncap cap=min simb=alpha prevW=um prevT=art prevCap=min nextW=colorido nextT=v-pcp nextCap=min prev2W=ou prev2T=conj-c prev2Cap=min next2W=para next2T=prp next2Cap=min palpite=O
colorido v-pcp ini=ncap cap=min simb=alpha prevW=banheiro prevT=n prevCap=min nextW=para nextT=prp nextCap=min prev2W=um prev2T=art prev2Cap=min next2W=levantar next2T=v-inf next2Cap=min palpite=O
para prp ini=ncap cap=min simb=alpha prevW=colorido prevT=v-pcp prevCap=min nextW=levantar nextT=v-inf nextCap=min prev2W=banheiro prev2T=n prev2Cap=min next2W=o next2T=art next2Cap=min palpite=O
levantar v-inf ini=ncap cap=min simb=alpha prevW=para prevT=prp prevCap=min nextW=o nextT=art nextCap=min prev2W=colorido prev2T=v-pcp prev2Cap=min next2W=astral next2T=n next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=levantar prevT=v-inf prevCap=min nextW=astral nextT=n nextCap=min prev2W=para prev2T=prp prev2Cap=min next2W=da next2T=v-pcp next2Cap=min palpite=O
astral n ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=da nextT=v-pcp nextCap=min prev2W=levantar prev2T=v-inf prev2Cap=min next2W=casa next2T=n next2Cap=min palpite=O
da v-pcp ini=ncap cap=min simb=alpha prevW=astral prevT=n prevCap=min nextW=casa nextT=n nextCap=min prev2W=o prev2T=art prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
casa n ini=ncap cap=min simb=alpha prevW=da prevT=v-pcp prevCap=min nextW=. nextT=punc nextCap=null prev2W=astral prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=casa prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=da prev2T=v-pcp prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
