Ela pron-pers ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=est nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=?resente next2T=adv next2Cap=null palpite=O
est n ini=ncap cap=min simb=alpha prevW=Ela prevT=pron-pers prevCap=maxmin nextW=?resente nextT=adv nextCap=null prev2W=null prev2T=null prev2Cap=null next2W=n next2T=n next2Cap=min palpite=O
?resente adv ini=simb cap=null simb=null prevW=est prevT=n prevCap=min nextW=n nextT=n nextCap=min prev2W=Ela prev2T=pron-pers prev2Cap=maxmin next2W=?s next2T=n next2Cap=null palpite=O
n n ini=ncap cap=min simb=alpha prevW=?resente prevT=adv prevCap=null nextW=?s nextT=n nextCap=null prev2W=est prev2T=n prev2Cap=min next2W=?s next2T=n next2Cap=null palpite=O
?s n ini=simb cap=null simb=null prevW=n prevT=n prevCap=min nextW=?s nextT=n nextCap=null prev2W=?resente prev2T=adv prev2Cap=null next2W=paredes next2T=n next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=?s prevT=n prevCap=null nextW=paredes nextT=n nextCap=min prev2W=n prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
paredes n ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=, nextT=punc nextCap=null prev2W=?s prev2T=n prev2Cap=null next2W=mas next2T=conj-c next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=paredes prevT=n prevCap=min nextW=mas nextT=conj-c nextCap=min prev2W=?s prev2T=n prev2Cap=null next2W=tamb next2T=n next2Cap=min palpite=O
mas conj-c ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=tamb nextT=n nextCap=min prev2W=paredes prev2T=n prev2Cap=min next2W=?na next2T=n next2Cap=null palpite=O
tamb n ini=ncap cap=min simb=alpha prevW=mas prevT=conj-c prevCap=min nextW=?na nextT=n nextCap=null prev2W=, prev2T=punc prev2Cap=null next2W=lixeira next2T=n next2Cap=min palpite=O
?na n ini=simb cap=null simb=null prevW=tamb prevT=n prevCap=min nextW=lixeira nextT=n nextCap=min prev2W=mas prev2T=conj-c prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
lixeira n ini=ncap cap=min simb=alpha prevW=?na prevT=n prevCap=null nextW=, nextT=punc nextCap=null prev2W=tamb prev2T=n prev2Cap=min next2W=nas next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=lixeira prevT=n prevCap=min nextW=nas nextT=n nextCap=min prev2W=?na prev2T=n prev2Cap=null next2W=pe next2T=adj next2Cap=min palpite=O
nas n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=pe nextT=adj nextCap=min prev2W=lixeira prev2T=n prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
pe adj ini=ncap cap=min simb=alpha prevW=nas prevT=n prevCap=min nextW=? nextT=punc nextCap=null prev2W=, prev2T=punc prev2Cap=null next2W=usadas next2T=v-pcp next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=pe prevT=adj prevCap=min nextW=usadas nextT=v-pcp nextCap=min prev2W=nas prev2T=n prev2Cap=min next2W=em next2T=prp next2Cap=min palpite=O
usadas v-pcp ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=em nextT=prp nextCap=min prev2W=pe prev2T=adj prev2Cap=min next2W=lavabos next2T=n next2Cap=min palpite=O
em prp ini=ncap cap=min simb=alpha prevW=usadas prevT=v-pcp prevCap=min nextW=lavabos nextT=n nextCap=min prev2W=? prev2T=punc prev2Cap=null next2W=e next2T=conj-c next2Cap=min palpite=O
lavabos n ini=ncap cap=min simb=alpha prevW=em prevT=prp prevCap=min nextW=e nextT=conj-c nextCap=min prev2W=usadas prev2T=v-pcp prev2Cap=min next2W=at next2T=n next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=lavabos prevT=n prevCap=min nextW=at nextT=n nextCap=min prev2W=em prev2T=prp prev2Cap=min next2W=?a next2T=n next2Cap=null palpite=O
at n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=?a nextT=n nextCap=null prev2W=lavabos prev2T=n prev2Cap=min next2W=manteigueira next2T=n next2Cap=min palpite=O
?a n ini=simb cap=null simb=null prevW=at prevT=n prevCap=min nextW=manteigueira nextT=n nextCap=min prev2W=e prev2T=conj-c prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
manteigueira n ini=ncap cap=min simb=alpha prevW=?a prevT=n prevCap=null nextW=. nextT=punc nextCap=null prev2W=at prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=manteigueira prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=?a prev2T=n prev2Cap=null next2W=null next2T=null next2Cap=null palpite=O
