Da n ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=mesma nextT=pron-det nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=forma next2T=n next2Cap=min palpite=O
mesma pron-det ini=ncap cap=min simb=alpha prevW=Da prevT=n prevCap=maxmin nextW=forma nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=que next2T=conj-s next2Cap=min palpite=O
forma n ini=ncap cap=min simb=alpha prevW=mesma prevT=pron-det prevCap=min nextW=que nextT=conj-s nextCap=min prev2W=Da prev2T=n prev2Cap=maxmin next2W=as next2T=art next2Cap=min palpite=O
que conj-s ini=ncap cap=min simb=alpha prevW=forma prevT=n prevCap=min nextW=as nextT=art nextCap=min prev2W=mesma prev2T=pron-det prev2Cap=min next2W=cores next2T=n next2Cap=min palpite=O
as art ini=ncap cap=min simb=alpha prevW=que prevT=conj-s prevCap=min nextW=cores nextT=n nextCap=min prev2W=forma prev2T=n prev2Cap=min next2W=ganharam next2T=v-fin next2Cap=min palpite=O
cores n ini=ncap cap=min simb=alpha prevW=as prevT=art prevCap=min nextW=ganharam nextT=v-fin nextCap=min prev2W=que prev2T=conj-s prev2Cap=min next2W=espa next2T=n next2Cap=min palpite=O
ganharam v-fin ini=ncap cap=min simb=alpha prevW=cores prevT=n prevCap=min nextW=espa nextT=n nextCap=min prev2W=as prev2T=art prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
espa n ini=ncap cap=min simb=alpha prevW=ganharam prevT=v-fin prevCap=min nextW=? nextT=punc nextCap=null prev2W=cores prev2T=n prev2Cap=min next2W=os next2T=art next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=espa prevT=n prevCap=min nextW=os nextT=art nextCap=min prev2W=ganharam prev2T=v-fin prev2Cap=min next2W=cristais next2T=n next2Cap=min palpite=O
os art ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=cristais nextT=n nextCap=min prev2W=espa prev2T=n prev2Cap=min next2W=est next2T=n next2Cap=min palpite=O
cristais n ini=ncap cap=min simb=alpha prevW=os prevT=art prevCap=min nextW=est nextT=n nextCap=min prev2W=? prev2T=punc prev2Cap=null next2W=?presentes next2T=n next2Cap=null palpite=O
est n ini=ncap cap=min simb=alpha prevW=cristais prevT=n prevCap=min nextW=?presentes nextT=n nextCap=null prev2W=os prev2T=art prev2Cap=min next2W=hoje next2T=adv next2Cap=min palpite=O
?presentes n ini=simb cap=null simb=null prevW=est prevT=n prevCap=min nextW=hoje nextT=adv nextCap=min prev2W=cristais prev2T=n prev2Cap=min next2W=at next2T=n next2Cap=min palpite=O
hoje adv ini=ncap cap=min simb=alpha prevW=?presentes prevT=n prevCap=null nextW=at nextT=n nextCap=min prev2W=est prev2T=n prev2Cap=min next2W=?esmo next2T=n next2Cap=null palpite=O
at n ini=ncap cap=min simb=alpha prevW=hoje prevT=adv prevCap=min nextW=?esmo nextT=n nextCap=null prev2W=?presentes prev2T=n prev2Cap=null next2W=nos next2T=pron-pers next2Cap=min palpite=O
?esmo n ini=simb cap=null simb=null prevW=at prevT=n prevCap=min nextW=nos nextT=pron-pers nextCap=min prev2W=hoje prev2T=adv prev2Cap=min next2W=len next2T=n next2Cap=min palpite=O
nos pron-pers ini=ncap cap=min simb=alpha prevW=?esmo prevT=n prevCap=null nextW=len nextT=n nextCap=min prev2W=at prev2T=n prev2Cap=min next2W=?s next2T=n next2Cap=null palpite=O
len n ini=ncap cap=min simb=alpha prevW=nos prevT=pron-pers prevCap=min nextW=?s nextT=n nextCap=null prev2W=?esmo prev2T=n prev2Cap=null next2W=e next2T=conj-c next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=len prevT=n prevCap=min nextW=e nextT=conj-c nextCap=min prev2W=nos prev2T=pron-pers prev2Cap=min next2W=tolhas next2T=n next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=tolhas nextT=n nextCap=min prev2W=len prev2T=n prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
tolhas n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=de nextT=prp nextCap=min prev2W=?s prev2T=n prev2Cap=null next2W=banho next2T=n next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=tolhas prevT=n prevCap=min nextW=banho nextT=n nextCap=min prev2W=e prev2T=conj-c prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
banho n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=. nextT=punc nextCap=null prev2W=tolhas prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=banho prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=de prev2T=prp prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
