PROFESSOR prop ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=O nextT=art nextCap=max prev2W=null prev2T=null prev2Cap=null next2W=munic next2T=n next2Cap=min palpite=O
O art ini=cap cap=max simb=alpha prevW=PROFESSOR prevT=prop prevCap=max nextW=munic nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=?o next2T=n next2Cap=null palpite=O
munic n ini=ncap cap=min simb=alpha prevW=O prevT=art prevCap=max nextW=?o nextT=n nextCap=null prev2W=PROFESSOR prev2T=prop prev2Cap=max next2W=est next2T=n next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=munic prevT=n prevCap=min nextW=est nextT=n nextCap=min prev2W=O prev2T=art prev2Cap=max next2W=?ecebendo next2T=v-ger next2Cap=null palpite=O
est n ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=?ecebendo nextT=v-ger nextCap=null prev2W=munic prev2T=n prev2Cap=min next2W=inscri next2T=n next2Cap=min palpite=O
?ecebendo v-ger ini=simb cap=null simb=null prevW=est prevT=n prevCap=min nextW=inscri nextT=n nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=?s next2T=n next2Cap=null palpite=O
inscri n ini=ncap cap=min simb=alpha prevW=?ecebendo prevT=v-ger prevCap=null nextW=?s nextT=n nextCap=null prev2W=est prev2T=n prev2Cap=min next2W=do next2T=v-pcp next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=inscri prevT=n prevCap=min nextW=do nextT=v-pcp nextCap=min prev2W=?ecebendo prev2T=v-ger prev2Cap=null next2W=concurso next2T=n next2Cap=min palpite=O
do v-pcp ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=concurso nextT=n nextCap=min prev2W=inscri prev2T=n prev2Cap=min next2W=p next2T=n next2Cap=min palpite=O
concurso n ini=ncap cap=min simb=alpha prevW=do prevT=v-pcp prevCap=min nextW=p nextT=n nextCap=min prev2W=?s prev2T=n prev2Cap=null next2W=?o next2T=n next2Cap=null palpite=O
p n ini=ncap cap=min simb=alpha prevW=concurso prevT=n prevCap=min nextW=?o nextT=n nextCap=null prev2W=do prev2T=v-pcp prev2Cap=min next2W=para next2T=prp next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=p prevT=n prevCap=min nextW=para nextT=prp nextCap=min prev2W=concurso prev2T=n prev2Cap=min next2W=provimento next2T=n next2Cap=min palpite=O
para prp ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=provimento nextT=n nextCap=min prev2W=p prev2T=n prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
provimento n ini=ncap cap=min simb=alpha prevW=para prevT=prp prevCap=min nextW=de nextT=prp nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=82 next2T=num next2Cap=null palpite=O
de prp ini=ncap cap=min simb=alpha prevW=provimento prevT=n prevCap=min nextW=82 nextT=num nextCap=null prev2W=para prev2T=prp prev2Cap=min next2W=vagas next2T=n next2Cap=min palpite=O
82 num ini=simb cap=null simb=num prevW=de prevT=prp prevCap=min nextW=vagas nextT=n nextCap=min prev2W=provimento prev2T=n prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
vagas n ini=ncap cap=min simb=alpha prevW=82 prevT=num prevCap=null nextW=de nextT=prp nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=professores next2T=n next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=vagas prevT=n prevCap=min nextW=professores nextT=n nextCap=min prev2W=82 prev2T=num prev2Cap=null next2W=. next2T=punc next2Cap=null palpite=O
professores n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=. nextT=punc nextCap=null prev2W=vagas prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=professores prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=de prev2T=prp prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
