O art ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=per nextT=adj nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=?o next2T=n next2Cap=null palpite=O
per adj ini=ncap cap=min simb=alpha prevW=O prevT=art prevCap=max nextW=?o nextT=n nextCap=null prev2W=null prev2T=null prev2Cap=null next2W=de next2T=prp next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=per prevT=adj prevCap=min nextW=de nextT=prp nextCap=min prev2W=O prev2T=art prev2Cap=max next2W=inscri next2T=n next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=inscri nextT=n nextCap=min prev2W=per prev2T=adj prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
inscri n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=? nextT=punc nextCap=null prev2W=?o prev2T=n prev2Cap=null next2W=ser next2T=v-inf next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=inscri prevT=n prevCap=min nextW=ser nextT=v-inf nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=?e next2T=n next2Cap=null palpite=O
ser v-inf ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=?e nextT=n nextCap=null prev2W=inscri prev2T=n prev2Cap=min next2W=20 next2T=num next2Cap=null palpite=O
?e n ini=simb cap=null simb=null prevW=ser prevT=v-inf prevCap=min nextW=20 nextT=num nextCap=null prev2W=? prev2T=punc prev2Cap=null next2W=a next2T=art next2Cap=min palpite=O
20 num ini=simb cap=null simb=num prevW=?e prevT=n prevCap=null nextW=a nextT=art nextCap=min prev2W=ser prev2T=v-inf prev2Cap=min next2W=24 next2T=num next2Cap=null palpite=I_TEMPO
a art ini=ncap cap=min simb=alpha prevW=20 prevT=num prevCap=null nextW=24 nextT=num nextCap=null prev2W=?e prev2T=n prev2Cap=null next2W=de next2T=prp next2Cap=min palpite=O
24 num ini=simb cap=null simb=num prevW=a prevT=art prevCap=min nextW=de nextT=prp nextCap=min prev2W=20 prev2T=num prev2Cap=null next2W=novembro next2T=n next2Cap=min palpite=I_TEMPO
de prp ini=ncap cap=min simb=alpha prevW=24 prevT=num prevCap=null nextW=novembro nextT=n nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=e next2T=conj-c next2Cap=min palpite=I_TEMPO
novembro n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=e nextT=conj-c nextCap=min prev2W=24 prev2T=num prev2Cap=null next2W=a next2T=art next2Cap=min palpite=I_TEMPO
e conj-c ini=ncap cap=min simb=alpha prevW=novembro prevT=n prevCap=min nextW=a nextT=art nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=divulga next2T=n next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=divulga nextT=n nextCap=min prev2W=novembro prev2T=n prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
divulga n ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=? nextT=punc nextCap=null prev2W=e prev2T=conj-c prev2Cap=min next2W=da next2T=v-pcp next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=divulga prevT=n prevCap=min nextW=da nextT=v-pcp nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=classifica next2T=n next2Cap=min palpite=O
da v-pcp ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=classifica nextT=n nextCap=min prev2W=divulga prev2T=n prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
classifica n ini=ncap cap=min simb=alpha prevW=da prevT=v-pcp prevCap=min nextW=? nextT=punc nextCap=null prev2W=? prev2T=punc prev2Cap=null next2W=final next2T=n next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=classifica prevT=n prevCap=min nextW=final nextT=n nextCap=min prev2W=da prev2T=v-pcp prev2Cap=min next2W=ser next2T=v-inf next2Cap=min palpite=O
final n ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=ser nextT=v-inf nextCap=min prev2W=classifica prev2T=n prev2Cap=min next2W=?m next2T=n next2Cap=null palpite=O
ser v-inf ini=ncap cap=min simb=alpha prevW=final prevT=n prevCap=min nextW=?m nextT=n nextCap=null prev2W=? prev2T=punc prev2Cap=null next2W=19 next2T=num next2Cap=null palpite=O
?m n ini=simb cap=null simb=null prevW=ser prevT=v-inf prevCap=min nextW=19 nextT=num nextCap=null prev2W=final prev2T=n prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
19 num ini=simb cap=null simb=num prevW=?m prevT=n prevCap=null nextW=de nextT=prp nextCap=min prev2W=ser prev2T=v-inf prev2Cap=min next2W=dezembro next2T=n next2Cap=min palpite=I_TEMPO
de prp ini=ncap cap=min simb=alpha prevW=19 prevT=num prevCap=null nextW=dezembro nextT=n nextCap=min prev2W=?m prev2T=n prev2Cap=null next2W=. next2T=punc next2Cap=null palpite=I_TEMPO
dezembro n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=. nextT=punc nextCap=null prev2W=19 prev2T=num prev2Cap=null next2W=null next2T=null next2Cap=null palpite=I_TEMPO
. punc ini=simb cap=null simb=null prevW=dezembro prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=de prev2T=prp prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
