A art ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=Sedu nextT=prop nextCap=maxmin prev2W=null prev2T=null prev2Cap=null next2W=estima next2T=adj next2Cap=min palpite=O
Sedu prop ini=cap cap=maxmin simb=alpha prevW=A prevT=art prevCap=max nextW=estima nextT=adj nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=que next2T=conj-s next2Cap=min palpite=O
estima adj ini=ncap cap=min simb=alpha prevW=Sedu prevT=prop prevCap=maxmin nextW=que nextT=conj-s nextCap=min prev2W=A prev2T=art prev2Cap=max next2W=contrate next2T=n next2Cap=min palpite=O
que conj-s ini=ncap cap=min simb=alpha prevW=estima prevT=adj prevCap=min nextW=contrate nextT=n nextCap=min prev2W=Sedu prev2T=prop prev2Cap=maxmin next2W=para next2T=prp next2Cap=min palpite=O
contrate n ini=ncap cap=min simb=alpha prevW=que prevT=conj-s prevCap=min nextW=para nextT=prp nextCap=min prev2W=estima prev2T=adj prev2Cap=min next2W=atuar next2T=v-inf next2Cap=min palpite=O
para prp ini=ncap cap=min simb=alpha prevW=contrate prevT=n prevCap=min nextW=atuar nextT=v-inf nextCap=min prev2W=que prev2T=conj-s prev2Cap=min next2W=no next2T=n next2Cap=min palpite=O
atuar v-inf ini=ncap cap=min simb=alpha prevW=para prevT=prp prevCap=min nextW=no nextT=n nextCap=min prev2W=contrate prev2T=n prev2Cap=min next2W=pr next2T=n next2Cap=min palpite=O
no n ini=ncap cap=min simb=alpha prevW=atuar prevT=v-inf prevCap=min nextW=pr nextT=n nextCap=min prev2W=para prev2T=prp prev2Cap=min next2W=?o next2T=n next2Cap=null palpite=O
pr n ini=ncap cap=min simb=alpha prevW=no prevT=n prevCap=min nextW=?o nextT=n nextCap=null prev2W=atuar prev2T=v-inf prev2Cap=min next2W=ano next2T=n next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=pr prevT=n prevCap=min nextW=ano nextT=n nextCap=min prev2W=no prev2T=n prev2Cap=min next2W=letivo next2T=n next2Cap=min palpite=O
ano n ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=letivo nextT=n nextCap=min prev2W=pr prev2T=n prev2Cap=min next2W=cerca next2T=n next2Cap=min palpite=O
letivo n ini=ncap cap=min simb=alpha prevW=ano prevT=n prevCap=min nextW=cerca nextT=n nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=de next2T=prp next2Cap=min palpite=O
cerca n ini=ncap cap=min simb=alpha prevW=letivo prevT=n prevCap=min nextW=de nextT=prp nextCap=min prev2W=ano prev2T=n prev2Cap=min next2W=9 next2T=num next2Cap=null palpite=I_VALOR
de prp ini=ncap cap=min simb=alpha prevW=cerca prevT=n prevCap=min nextW=9 nextT=num nextCap=null prev2W=letivo prev2T=n prev2Cap=min next2W=mil next2T=num next2Cap=min palpite=I_VALOR
9 num ini=simb cap=null simb=num prevW=de prevT=prp prevCap=min nextW=mil nextT=num nextCap=min prev2W=cerca prev2T=n prev2Cap=min next2W=professores next2T=n next2Cap=min palpite=I_VALOR
mil num ini=ncap cap=min simb=alpha prevW=9 prevT=num prevCap=null nextW=professores nextT=n nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=I_VALOR
professores n ini=ncap cap=min simb=alpha prevW=mil prevT=num prevCap=min nextW=. nextT=punc nextCap=null prev2W=9 prev2T=num prev2Cap=null next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=professores prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=mil prev2T=num prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
