Para prp ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=se nextT=pron-pers nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=inscrever next2T=v-inf next2Cap=min palpite=O
se pron-pers ini=ncap cap=min simb=alpha prevW=Para prevT=prp prevCap=maxmin nextW=inscrever nextT=v-inf nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=, next2T=punc next2Cap=null palpite=O
inscrever v-inf ini=ncap cap=min simb=alpha prevW=se prevT=pron-pers prevCap=min nextW=, nextT=punc nextCap=null prev2W=Para prev2T=prp prev2Cap=maxmin next2W=?ecess next2T=n next2Cap=null palpite=O
, punc ini=simb cap=null simb=null prevW=inscrever prevT=v-inf prevCap=min nextW=?ecess nextT=n nextCap=null prev2W=se prev2T=pron-pers prev2Cap=min next2W=?o next2T=n next2Cap=null palpite=O
?ecess n ini=simb cap=null simb=null prevW=, prevT=punc prevCap=null nextW=?o nextT=n nextCap=null prev2W=inscrever prev2T=v-inf prev2Cap=min next2W=apresentar next2T=v-inf next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=?ecess prevT=n prevCap=null nextW=apresentar nextT=v-inf nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=c next2T=n next2Cap=min palpite=O
apresentar v-inf ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=c nextT=n nextCap=min prev2W=?ecess prev2T=n prev2Cap=null next2W=?s next2T=n next2Cap=null palpite=O
c n ini=ncap cap=min simb=alpha prevW=apresentar prevT=v-inf prevCap=min nextW=?s nextT=n nextCap=null prev2W=?o prev2T=n prev2Cap=null next2W=dos next2T=n next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=c prevT=n prevCap=min nextW=dos nextT=n nextCap=min prev2W=apresentar prev2T=v-inf prev2Cap=min next2W=seguintes next2T=n next2Cap=min palpite=O
dos n ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=seguintes nextT=n nextCap=min prev2W=c prev2T=n prev2Cap=min next2W=documentos next2T=n next2Cap=min palpite=O
seguintes n ini=ncap cap=min simb=alpha prevW=dos prevT=n prevCap=min nextW=documentos nextT=n nextCap=min prev2W=?s prev2T=n prev2Cap=null next2W=: next2T=punc next2Cap=null palpite=O
documentos n ini=ncap cap=min simb=alpha prevW=seguintes prevT=n prevCap=min nextW=: nextT=punc nextCap=null prev2W=dos prev2T=n prev2Cap=min next2W=identidade next2T=n next2Cap=min palpite=O
: punc ini=simb cap=null simb=null prevW=documentos prevT=n prevCap=min nextW=identidade nextT=n nextCap=min prev2W=seguintes prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
identidade n ini=ncap cap=min simb=alpha prevW=: prevT=punc prevCap=null nextW=, nextT=punc nextCap=null prev2W=documentos prev2T=n prev2Cap=min next2W=diploma next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=identidade prevT=n prevCap=min nextW=diploma nextT=n nextCap=min prev2W=: prev2T=punc prev2Cap=null next2W=e next2T=conj-c next2Cap=min palpite=O
diploma n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=e nextT=conj-c nextCap=min prev2W=identidade prev2T=n prev2Cap=min next2W=contracheque next2T=n next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=diploma prevT=n prevCap=min nextW=contracheque nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=. next2T=punc next2Cap=null palpite=O
contracheque n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=. nextT=punc nextCap=null prev2W=diploma prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=contracheque prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=e prev2T=conj-c prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
