Quando adv ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=o nextT=art nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=pai next2T=n next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=Quando prevT=adv prevCap=maxmin nextW=pai nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=decidiu next2T=v-fin next2Cap=min palpite=O
pai n ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=decidiu nextT=v-fin nextCap=min prev2W=Quando prev2T=adv prev2Cap=maxmin next2W=arrancar next2T=v-inf next2Cap=min palpite=O
decidiu v-fin ini=ncap cap=min simb=alpha prevW=pai prevT=n prevCap=min nextW=arrancar nextT=v-inf nextCap=min prev2W=o prev2T=art prev2Cap=min next2W=as next2T=art next2Cap=min palpite=O
arrancar v-inf ini=ncap cap=min simb=alpha prevW=decidiu prevT=v-fin prevCap=min nextW=as nextT=art nextCap=min prev2W=pai prev2T=n prev2Cap=min next2W=plantas next2T=n next2Cap=min palpite=O
as art ini=ncap cap=min simb=alpha prevW=arrancar prevT=v-inf prevCap=min nextW=plantas nextT=n nextCap=min prev2W=decidiu prev2T=v-fin prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
plantas n ini=ncap cap=min simb=alpha prevW=as prevT=art prevCap=min nextW=de nextT=prp nextCap=min prev2W=arrancar prev2T=v-inf prev2Cap=min next2W=flores next2T=n next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=plantas prevT=n prevCap=min nextW=flores nextT=n nextCap=min prev2W=as prev2T=art prev2Cap=min next2W=sem next2T=prp next2Cap=min palpite=O
flores n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=sem nextT=prp nextCap=min prev2W=plantas prev2T=n prev2Cap=min next2W=cheiro next2T=n next2Cap=min palpite=O
sem prp ini=ncap cap=min simb=alpha prevW=flores prevT=n prevCap=min nextW=cheiro nextT=n nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
cheiro n ini=ncap cap=min simb=alpha prevW=sem prevT=prp prevCap=min nextW=, nextT=punc nextCap=null prev2W=flores prev2T=n prev2Cap=min next2W=a next2T=art next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=cheiro prevT=n prevCap=min nextW=a nextT=art nextCap=min prev2W=sem prev2T=prp prev2Cap=min next2W=fada next2T=n next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=fada nextT=n nextCap=min prev2W=cheiro prev2T=n prev2Cap=min next2W=do next2T=v-pcp next2Cap=min palpite=O
fada n ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=do nextT=v-pcp nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=jardim next2T=n next2Cap=min palpite=O
do v-pcp ini=ncap cap=min simb=alpha prevW=fada prevT=n prevCap=min nextW=jardim nextT=n nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=interveio next2T=n next2Cap=min palpite=O
jardim n ini=ncap cap=min simb=alpha prevW=do prevT=v-pcp prevCap=min nextW=interveio nextT=n nextCap=min prev2W=fada prev2T=n prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
interveio n ini=ncap cap=min simb=alpha prevW=jardim prevT=n prevCap=min nextW=. nextT=punc nextCap=null prev2W=do prev2T=v-pcp prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=interveio prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=jardim prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
