Saltando v-ger ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=entre nextT=prp nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=pinheiros next2T=n next2Cap=min palpite=O
entre prp ini=ncap cap=min simb=alpha prevW=Saltando prevT=v-ger prevCap=maxmin nextW=pinheiros nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=e next2T=conj-c next2Cap=min palpite=O
pinheiros n ini=ncap cap=min simb=alpha prevW=entre prevT=prp prevCap=min nextW=e nextT=conj-c nextCap=min prev2W=Saltando prev2T=v-ger prev2Cap=maxmin next2W=amoras next2T=n next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=pinheiros prevT=n prevCap=min nextW=amoras nextT=n nextCap=min prev2W=entre prev2T=prp prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
amoras n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=, nextT=punc nextCap=null prev2W=pinheiros prev2T=n prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=amoras prevT=n prevCap=min nextW=de nextT=prp nextCap=min prev2W=e prev2T=conj-c prev2Cap=min next2W=onde next2T=adv next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=onde nextT=adv nextCap=min prev2W=amoras prev2T=n prev2Cap=min next2W=começaram next2T=v-fin next2Cap=min palpite=O
onde adv ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=começaram nextT=v-fin nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=a next2T=art next2Cap=min palpite=O
começaram v-fin ini=ncap cap=min simb=alpha prevW=onde prevT=adv prevCap=min nextW=a nextT=art nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=sair next2T=v-inf next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=começaram prevT=v-fin prevCap=min nextW=sair nextT=v-inf nextCap=min prev2W=onde prev2T=adv prev2Cap=min next2W=tordos next2T=n next2Cap=min palpite=O
sair v-inf ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=tordos nextT=n nextCap=min prev2W=começaram prev2T=v-fin prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
tordos n ini=ncap cap=min simb=alpha prevW=sair prevT=v-inf prevCap=min nextW=, nextT=punc nextCap=null prev2W=a prev2T=art prev2Cap=min next2W=cães next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=tordos prevT=n prevCap=min nextW=cães nextT=n nextCap=min prev2W=sair prev2T=v-inf prev2Cap=min next2W=e next2T=conj-c next2Cap=min palpite=O
cães n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=e nextT=conj-c nextCap=min prev2W=tordos prev2T=n prev2Cap=min next2W=ratinhos next2T=n next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=cães prevT=n prevCap=min nextW=ratinhos nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=para next2T=prp next2Cap=min palpite=O
ratinhos n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=para nextT=prp nextCap=min prev2W=cães prev2T=n prev2Cap=min next2W=o next2T=art next2Cap=min palpite=O
para prp ini=ncap cap=min simb=alpha prevW=ratinhos prevT=n prevCap=min nextW=o nextT=art nextCap=min prev2W=e prev2T=conj-c prev2Cap=min next2W=ajudar next2T=v-inf next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=para prevT=prp prevCap=min nextW=ajudar nextT=v-inf nextCap=min prev2W=ratinhos prev2T=n prev2Cap=min next2W=nas next2T=n next2Cap=min palpite=O
ajudar v-inf ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=nas nextT=n nextCap=min prev2W=para prev2T=prp prev2Cap=min next2W=compras next2T=n next2Cap=min palpite=O
nas n ini=ncap cap=min simb=alpha prevW=ajudar prevT=v-inf prevCap=min nextW=compras nextT=n nextCap=min prev2W=o prev2T=art prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
compras n ini=ncap cap=min simb=alpha prevW=nas prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=ajudar prev2T=v-inf prev2Cap=min next2W=logo next2T=adv next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=compras prevT=n prevCap=min nextW=logo nextT=adv nextCap=min prev2W=nas prev2T=n prev2Cap=min next2W=chegou next2T=v-fin next2Cap=min palpite=O
logo adv ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=chegou nextT=v-fin nextCap=min prev2W=compras prev2T=n prev2Cap=min next2W=à next2T=adv next2Cap=min palpite=O
chegou v-fin ini=ncap cap=min simb=alpha prevW=logo prevT=adv prevCap=min nextW=à nextT=adv nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=feira next2T=n next2Cap=min palpite=O
à adv ini=ncap cap=min simb=alpha prevW=chegou prevT=v-fin prevCap=min nextW=feira nextT=n nextCap=min prev2W=logo prev2T=adv prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
feira n ini=ncap cap=min simb=alpha prevW=à prevT=adv prevCap=min nextW=. nextT=punc nextCap=null prev2W=chegou prev2T=v-fin prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=feira prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=à prev2T=adv prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
