O art ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=arco-íris nextT=n nextCap=null prev2W=null prev2T=null prev2Cap=null next2W=Quando next2T=adv next2Cap=maxmin palpite=O
arco-íris n ini=ncap cap=null simb=null prevW=O prevT=art prevCap=max nextW=Quando nextT=adv nextCap=maxmin prev2W=null prev2T=null prev2Cap=null next2W=chove next2T=n next2Cap=min palpite=O
Quando adv ini=cap cap=maxmin simb=alpha prevW=arco-íris prevT=n prevCap=null nextW=chove nextT=n nextCap=min prev2W=O prev2T=art prev2Cap=max next2W=e next2T=conj-c next2Cap=min palpite=O
chove n ini=ncap cap=min simb=alpha prevW=Quando prevT=adv prevCap=maxmin nextW=e nextT=conj-c nextCap=min prev2W=arco-íris prev2T=n prev2Cap=null next2W=aparece next2T=v-fin next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=chove prevT=n prevCap=min nextW=aparece nextT=v-fin nextCap=min prev2W=Quando prev2T=adv prev2Cap=maxmin next2W=o next2T=art next2Cap=min palpite=O
aparece v-fin ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=o nextT=art nextCap=min prev2W=chove prev2T=n prev2Cap=min next2W=sol next2T=n next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=aparece prevT=v-fin prevCap=min nextW=sol nextT=n nextCap=min prev2W=e prev2T=conj-c prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
sol n ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=, nextT=punc nextCap=null prev2W=aparece prev2T=v-fin prev2Cap=min next2W=a next2T=art next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=sol prevT=n prevCap=min nextW=a nextT=art nextCap=min prev2W=o prev2T=art prev2Cap=min next2W=luz next2T=n next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=luz nextT=n nextCap=min prev2W=sol prev2T=n prev2Cap=min next2W=que next2T=conj-s next2Cap=min palpite=O
luz n ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=que nextT=conj-s nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=bate next2T=n next2Cap=min palpite=O
que conj-s ini=ncap cap=min simb=alpha prevW=luz prevT=n prevCap=min nextW=bate nextT=n nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=nas next2T=n next2Cap=min palpite=O
bate n ini=ncap cap=min simb=alpha prevW=que prevT=conj-s prevCap=min nextW=nas nextT=n nextCap=min prev2W=luz prev2T=n prev2Cap=min next2W=gotas next2T=n next2Cap=min palpite=O
nas n ini=ncap cap=min simb=alpha prevW=bate prevT=n prevCap=min nextW=gotas nextT=n nextCap=min prev2W=que prev2T=conj-s prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
gotas n ini=ncap cap=min simb=alpha prevW=nas prevT=n prevCap=min nextW=de nextT=prp nextCap=min prev2W=bate prev2T=n prev2Cap=min next2W=água next2T=n next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=gotas prevT=n prevCap=min nextW=água nextT=n nextCap=min prev2W=nas prev2T=n prev2Cap=min next2W=desenha next2T=n next2Cap=min palpite=O
água n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=desenha nextT=n nextCap=min prev2W=gotas prev2T=n prev2Cap=min next2W=no next2T=n next2Cap=min palpite=O
desenha n ini=ncap cap=min simb=alpha prevW=água prevT=n prevCap=min nextW=no nextT=n nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=céu next2T=n next2Cap=min palpite=O
no n ini=ncap cap=min simb=alpha prevW=desenha prevT=n prevCap=min nextW=céu nextT=n nextCap=min prev2W=água prev2T=n prev2Cap=min next2W=esse next2T=pron-det next2Cap=min palpite=O
céu n ini=ncap cap=min simb=alpha prevW=no prevT=n prevCap=min nextW=esse nextT=pron-det nextCap=min prev2W=desenha prev2T=n prev2Cap=min next2W=maravilhoso next2T=n next2Cap=min palpite=O
esse pron-det ini=ncap cap=min simb=alpha prevW=céu prevT=n prevCap=min nextW=maravilhoso nextT=n nextCap=min prev2W=no prev2T=n prev2Cap=min next2W=fenómeno next2T=n next2Cap=min palpite=O
maravilhoso n ini=ncap cap=min simb=alpha prevW=esse prevT=pron-det prevCap=min nextW=fenómeno nextT=n nextCap=min prev2W=céu prev2T=n prev2Cap=min next2W=semicircular next2T=n next2Cap=min palpite=O
fenómeno n ini=ncap cap=min simb=alpha prevW=maravilhoso prevT=n prevCap=min nextW=semicircular nextT=n nextCap=min prev2W=esse prev2T=pron-det prev2Cap=min next2W=chamado next2T=v-pcp next2Cap=min palpite=O
semicircular n ini=ncap cap=min simb=alpha prevW=fenómeno prevT=n prevCap=min nextW=chamado nextT=v-pcp nextCap=min prev2W=maravilhoso prev2T=n prev2Cap=min next2W=arco-íris next2T=n next2Cap=null palpite=O
chamado v-pcp ini=ncap cap=min simb=alpha prevW=semicircular prevT=n prevCap=min nextW=arco-íris nextT=n nextCap=null prev2W=fenómeno prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
arco-íris n ini=ncap cap=null simb=null prevW=chamado prevT=v-pcp prevCap=min nextW=, nextT=punc nextCap=null prev2W=semicircular prev2T=n prev2Cap=min next2W=e next2T=conj-c next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=arco-íris prevT=n prevCap=null nextW=e nextT=conj-c nextCap=min prev2W=chamado prev2T=v-pcp prev2Cap=min next2W=que next2T=conj-s next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=que nextT=conj-s nextCap=min prev2W=arco-íris prev2T=n prev2Cap=null next2W=é next2T=v-fin next2Cap=min palpite=O
que conj-s ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=é nextT=v-fin nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=formado next2T=v-pcp next2Cap=min palpite=O
é v-fin ini=ncap cap=min simb=alpha prevW=que prevT=conj-s prevCap=min nextW=formado nextT=v-pcp nextCap=min prev2W=e prev2T=conj-c prev2Cap=min next2W=por next2T=prp next2Cap=min palpite=O
formado v-pcp ini=ncap cap=min simb=alpha prevW=é prevT=v-fin prevCap=min nextW=por nextT=prp nextCap=min prev2W=que prev2T=conj-s prev2Cap=min next2W=uma next2T=art next2Cap=min palpite=O
por prp ini=ncap cap=min simb=alpha prevW=formado prevT=v-pcp prevCap=min nextW=uma nextT=art nextCap=min prev2W=é prev2T=v-fin prev2Cap=min next2W=família next2T=n next2Cap=min palpite=O
uma art ini=ncap cap=min simb=alpha prevW=por prevT=prp prevCap=min nextW=família nextT=n nextCap=min prev2W=formado prev2T=v-pcp prev2Cap=min next2W=de next2T=prp next2Cap=min palpite=O
família n ini=ncap cap=min simb=alpha prevW=uma prevT=art prevCap=min nextW=de nextT=prp nextCap=min prev2W=por prev2T=prp prev2Cap=min next2W=sete next2T=num next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=família prevT=n prevCap=min nextW=sete nextT=num nextCap=min prev2W=uma prev2T=art prev2Cap=min next2W=cores next2T=n next2Cap=min palpite=O
sete num ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=cores nextT=n nextCap=min prev2W=família prev2T=n prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
cores n ini=ncap cap=min simb=alpha prevW=sete prevT=num prevCap=min nextW=. nextT=punc nextCap=null prev2W=de prev2T=prp prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=cores prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=sete prev2T=num prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
