A art ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=seguir nextT=v-inf nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=ao next2T=prp next2Cap=min palpite=O
seguir v-inf ini=ncap cap=min simb=alpha prevW=A prevT=art prevCap=max nextW=ao nextT=prp nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=vermelho next2T=n next2Cap=min palpite=O
ao prp ini=ncap cap=min simb=alpha prevW=seguir prevT=v-inf prevCap=min nextW=vermelho nextT=n nextCap=min prev2W=A prev2T=art prev2Cap=max next2W=fogo next2T=n next2Cap=min palpite=O
vermelho n ini=ncap cap=min simb=alpha prevW=ao prevT=prp prevCap=min nextW=fogo nextT=n nextCap=min prev2W=seguir prev2T=v-inf prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
fogo n ini=ncap cap=min simb=alpha prevW=vermelho prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=ao prev2T=prp prev2Cap=min next2W=vem next2T=v-fin next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=fogo prevT=n prevCap=min nextW=vem nextT=v-fin nextCap=min prev2W=vermelho prev2T=n prev2Cap=min next2W=o next2T=art next2Cap=min palpite=O
vem v-fin ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=o nextT=art nextCap=min prev2W=fogo prev2T=n prev2Cap=min next2W=amarelo next2T=n next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=vem prevT=v-fin prevCap=min nextW=amarelo nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=ouro next2T=n next2Cap=min palpite=O
amarelo n ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=ouro nextT=n nextCap=min prev2W=vem prev2T=v-fin prev2Cap=min next2W=e next2T=conj-c next2Cap=min palpite=O
ouro n ini=ncap cap=min simb=alpha prevW=amarelo prevT=n prevCap=min nextW=e nextT=conj-c nextCap=min prev2W=o prev2T=art prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=ouro prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=amarelo prev2T=n prev2Cap=min next2W=entre next2T=prp next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=e prevT=conj-c prevCap=min nextW=entre nextT=prp nextCap=min prev2W=ouro prev2T=n prev2Cap=min next2W=os next2T=art next2Cap=min palpite=O
entre prp ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=os nextT=art nextCap=min prev2W=e prev2T=conj-c prev2Cap=min next2W=dois next2T=num next2Cap=min palpite=O
os art ini=ncap cap=min simb=alpha prevW=entre prevT=prp prevCap=min nextW=dois nextT=num nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=, next2T=punc next2Cap=null palpite=O
