cap,ini,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
2,0,1,3,66,0,12,188,15,0,0,0,0,0,0,2,8,292
0,0,2,12,208,1,3,67,15,0,0,0,2,9,290,0,11,224
1,0,3,18,631,2,12,212,15,2,9,276,0,12,222,2,2,66
2,0,2,12,330,3,18,649,5,0,12,215,1,3,64,2,11,256
3,1,3,15,836,2,12,338,12,1,3,59,2,12,254,2,17,737
2,0,3,13,670,3,15,862,12,2,12,243,3,18,734,2,11,423
3,1,0,8,25,3,13,689,15,3,18,698,2,12,421,2,14,950
3,1,0,14,7,0,8,26,15,2,12,401,3,15,946,2,12,777
0,2,0,0,0,0,14,7,15,3,15,898,3,13,774,3,7,25
0,2,0,0,0,0,0,0,15,3,13,735,0,8,25,0,13,6
2,0,3,18,864,3,7,1308,15,0,0,0,0,0,0,2,1,131
3,1,3,13,537,3,18,891,15,0,0,0,2,2,129,2,6,1396
3,1,3,7,990,3,13,550,15,2,2,122,3,7,1392,2,17,979
3,1,3,4,734,3,7,1019,15,3,7,1323,3,18,975,2,12,638
3,1,3,7,1267,3,4,756,15,3,18,927,3,13,635,2,6,1107
3,1,0,14,5,3,7,1304,15,3,13,606,3,7,1103,2,3,844
3,1,3,4,734,0,14,5,15,3,7,1050,3,4,841,2,6,1392
0,2,3,18,1365,3,4,756,15,3,4,800,3,7,1388,0,13,4
3,1,3,7,1147,3,18,1406,15,3,7,1321,0,14,5,2,3,844
3,1,2,12,201,3,7,1179,15,0,14,5,3,4,841,2,17,1494
3,1,3,18,724,2,12,205,15,3,4,800,3,18,1490,2,6,1267
2,0,2,12,99,3,18,745,2,3,18,1419,3,7,1263,2,11,248
3,1,0,14,5,2,12,101,9,3,7,1201,2,12,246,2,17,833
2,0,3,15,882,0,14,5,9,2,12,235,3,18,830,2,11,106
0,2,3,7,781,3,15,909,15,3,18,789,2,12,104,0,13,4
3,1,3,2,540,3,7,804,15,2,12,97,0,14,5,2,14,997
3,1,3,3,337,3,2,553,15,0,14,5,3,15,993,2,6,892
3,1,3,1,1071,3,3,345,15,3,15,945,3,7,889,2,1,641
3,1,3,7,1030,3,1,1101,15,3,7,843,3,2,638,2,2,433
3,1,3,13,637,3,7,1060,15,3,2,609,3,3,430,2,0,1189
3,1,3,9,1152,3,13,655,15,3,3,410,3,1,1185,2,6,1148
3,1,3,7,515,3,9,1185,15,3,1,1128,3,7,1144,2,12,743
3,1,0,14,7,3,7,528,15,3,7,1090,3,13,740,2,8,1273
3,1,0,0,0,0,14,7,15,3,13,703,3,9,1269,2,6,616
0,2,0,0,0,0,0,0,15,3,9,1207,3,7,613,0,13,6
1,0,3,13,1288,0,1,1496,15,0,0,0,0,0,0,2,2,66
0,1,3,9,800,3,13,1326,15,0,0,0,1,3,64,0,0,1584
3,1,3,7,1523,3,9,825,15,1,3,59,0,1,1580,2,12,1414
3,1,0,7,509,3,7,1573,15,0,1,1500,3,13,1410,2,8,913
3,1,2,12,327,0,7,522,15,3,13,1341,3,9,910,2,6,1661
0,1,2,12,254,2,12,335,15,3,9,863,3,7,1657,0,6,610
2,0,0,14,5,2,12,261,15,3,7,1573,0,7,607,2,11,419
2,0,3,4,1203,0,14,5,15,0,7,579,2,12,417,2,11,321
0,2,3,1,1071,3,4,1238,15,2,12,399,2,12,319,0,13,4
3,1,3,16,722,3,1,1101,15,2,12,304,0,14,5,2,3,1326
3,1,0,14,5,3,16,743,15,0,14,5,3,4,1322,2,0,1189
3,1,3,3,337,0,14,5,15,3,4,1257,3,1,1185,2,15,831
0,2,0,7,130,3,3,345,15,3,1,1128,3,16,828,0,13,4
3,1,2,12,327,0,7,133,15,3,16,787,0,14,5,2,2,433
