cap,ini,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
2,0,3,7,494,3,11,1501,11,0,0,0,0,0,0,2,1,127
3,1,0,14,47,3,7,515,11,0,0,0,2,2,125,2,10,1676
3,1,0,0,0,0,14,49,11,2,2,116,3,11,1669,2,6,690
0,2,0,0,0,0,0,0,11,3,11,1514,3,7,685,0,13,49
0,0,2,2,53,0,12,147,11,0,0,0,0,0,0,0,11,263
0,0,0,14,9,2,2,55,11,0,0,0,0,12,259,0,11,217
2,0,0,0,0,0,14,9,11,0,12,243,0,12,215,2,1,61
0,2,0,0,0,0,0,0,11,0,12,200,2,2,60,0,13,8
2,0,3,15,1523,3,7,357,11,0,0,0,0,0,0,2,6,372
3,1,0,14,47,3,15,1588,11,0,0,0,2,7,367,2,6,532
3,1,0,0,0,0,14,49,11,2,7,346,3,7,527,2,14,1763
0,2,0,0,0,0,0,0,11,3,7,495,3,15,1756,0,13,49
0,2,0,14,9,3,7,357,5,0,0,0,0,0,0,3,7,40
3,1,0,0,0,0,14,9,10,0,0,0,0,8,40,2,6,532
0,2,0,0,0,0,0,0,11,0,8,35,3,7,527,0,13,8
2,0,3,3,280,0,15,562,11,0,0,0,0,0,0,2,4,354
0,1,3,17,1516,3,3,289,11,0,0,0,2,5,349,0,14,737
3,1,0,14,47,3,17,1581,11,2,5,330,0,15,732,2,2,464
3,1,0,0,0,0,14,49,11,0,15,681,3,3,459,2,16,1756
0,2,0,0,0,0,0,0,11,3,3,433,3,17,1749,0,13,49
2,0,3,15,755,3,3,289,11,0,0,0,0,0,0,2,9,375
3,1,0,14,47,3,15,785,11,0,0,0,2,10,370,2,2,464
3,1,0,0,0,0,14,49,11,2,10,349,3,3,459,2,14,960
0,2,0,0,0,0,0,0,11,3,3,433,3,15,955,0,13,49
2,0,3,17,1516,3,3,289,11,0,0,0,0,0,0,2,14,124
3,1,3,5,1267,3,17,1581,11,0,0,0,2,15,122,2,2,464
3,1,3,15,1279,3,5,1322,11,2,15,113,3,3,459,2,16,1756
3,1,0,14,9,3,15,1336,11,3,3,433,3,17,1749,2,4,1497
3,1,0,0,0,0,14,9,11,3,17,1586,3,5,1490,2,14,1511
0,2,0,0,0,0,0,0,11,3,5,1354,3,15,1504,0,13,8
2,0,3,11,1053,3,13,1260,11,0,0,0,0,0,0,2,6,423
3,1,3,15,843,3,11,1100,11,0,0,0,2,7,418,2,12,1435
3,1,3,3,1166,3,15,882,11,2,7,392,3,13,1428,2,10,1275
3,1,3,7,1566,3,3,1220,11,3,13,1297,3,11,1269,2,14,1057
3,1,3,13,533,3,7,1633,11,3,11,1153,3,15,1052,2,2,1395
3,1,3,3,1166,3,13,555,11,3,15,960,3,3,1389,2,6,1808
3,1,3,18,910,3,3,1220,11,3,3,1262,3,7,1801,2,12,730
3,1,0,14,9,3,18,950,11,3,7,1633,3,13,725,2,2,1395
3,1,0,0,0,0,14,9,11,3,13,674,3,3,1389,2,17,1125
0,2,0,0,0,0,0,0,11,3,3,1262,3,18,1119,0,13,8
0,0,0,7,1332,3,13,362,11,0,0,0,0,0,0,0,11,367
3,1,3,7,636,0,7,1390,11,0,0,0,0,12,362,2,12,537
0,1,3,7,1244,3,7,662,11,0,12,342,3,13,532,0,6,1565
3,1,3,5,1348,3,7,1299,11,3,13,499,0,7,1558,2,6,837
3,1,3,7,1519,3,5,1408,11,0,7,1414,3,7,832,2,6,1474
3,1,3,3,280,3,7,1584,11,3,7,767,3,7,1467,2,4,1583
3,1,3,17,498,3,3,289,11,3,7,1332,3,5,1576,2,6,1759
3,1,3,3,1183,3,17,519,11,3,5,1431,3,7,1752,2,2,464
3,1,3,7,872,3,3,1237,11,3,7,1589,3,3,459,2,16,694
3,1,3,13,1206,3,7,912,11,3,3,433,3,17,689,2,2,1412
3,1,3,17,750,3,13,1260,11,3,17,640,3,3,1406,2,6,1087
3,1,3,3,384,3,17,780,11,3,3,1277,3,7,1082,2,12,1435
