cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
1,0,1,1,6,285,1,10,258,3,0,0,0,0,0,0,2,9,363
1,0,6,1,10,394,1,6,286,9,0,0,0,1,10,363,2,9,257
1,0,6,0,6,374,1,10,395,9,1,10,355,1,10,257,2,5,285
1,0,10,0,7,165,0,6,375,9,1,10,250,1,6,285,2,9,396
0,0,10,0,12,4,0,7,165,9,1,6,277,1,10,396,0,5,376
0,2,4,1,6,262,0,12,4,12,1,10,386,0,6,376,3,6,164
0,2,10,0,7,27,1,6,262,12,0,6,368,0,7,164,0,11,3
1,0,10,1,6,262,0,7,27,12,0,7,157,0,12,4,2,5,261
0,2,3,1,10,356,1,6,262,5,0,12,4,1,6,261,3,6,26
1,0,8,1,6,262,1,10,357,11,1,6,254,0,7,27,2,5,261
1,0,8,0,7,123,1,6,262,11,0,7,27,1,6,261,2,9,357
1,0,8,0,12,6,0,7,123,11,1,6,254,1,10,357,2,5,261
0,2,8,0,0,0,0,12,6,11,1,10,349,1,6,261,3,6,122
0,2,10,0,0,0,0,0,0,12,1,6,254,0,7,122,0,11,5
1,0,10,1,6,269,1,10,420,12,0,0,0,0,0,0,2,2,379
1,0,10,1,6,327,1,6,270,12,0,0,0,1,3,379,2,9,421
1,0,10,1,10,297,1,6,328,12,1,3,371,1,10,421,2,5,269
1,0,1,1,6,262,1,10,298,3,1,10,411,1,6,269,2,5,328
1,0,6,0,6,286,1,6,262,9,1,6,261,1,6,328,2,9,298
1,0,6,1,10,233,0,6,287,9,1,6,320,1,10,298,2,5,261
0,0,6,1,4,284,1,10,233,9,1,10,290,1,6,261,0,5,286
1,0,6,1,10,463,1,4,285,12,1,6,254,0,6,286,2,9,232
1,0,6,1,6,269,1,10,466,12,0,6,278,1,10,232,2,3,284
1,0,6,1,6,287,1,6,270,12,1,10,225,1,4,284,2,9,468
1,0,6,1,6,437,1,6,288,12,1,4,276,1,10,465,2,5,269
1,0,6,0,12,4,1,6,440,12,1,10,455,1,6,269,2,5,287
1,0,6,3,16,580,0,12,4,12,1,6,261,1,6,287,2,5,441
0,2,10,3,2,499,3,16,583,12,1,6,279,1,6,439,0,11,3
3,1,10,3,16,523,3,2,502,12,1,6,429,0,12,4,2,15,585
3,1,10,2,6,405,3,16,526,12,0,12,4,3,16,582,2,1,504
3,1,10,1,10,360,2,6,406,12,3,16,572,3,2,501,2,15,528
2,0,10,0,6,583,1,10,361,3,3,2,491,3,16,525,2,5,407
1,0,10,0,7,145,0,6,586,9,3,16,515,2,6,407,2,9,361
0,1,10,0,12,4,0,7,145,12,2,6,397,1,10,361,0,5,588
0,2,4,3,11,527,0,12,4,12,1,10,353,0,6,585,3,6,144
0,2,10,0,7,142,3,11,530,12,0,6,575,0,7,144,0,11,3
3,1,10,0,12,4,0,7,142,12,0,7,137,0,12,4,2,10,532
0,2,3,3,16,612,0,12,4,12,0,12,4,3,11,529,0,6,141
0,2,10,3,6,579,3,16,615,12,3,11,519,0,7,141,0,11,3
3,1,10,1,6,271,3,6,582,12,0,7,134,0,12,4,2,15,617
3,1,10,3,11,527,1,6,272,12,0,12,4,3,16,614,2,5,584
1,0,10,0,6,144,3,11,530,12,3,16,602,3,6,581,2,5,271
3,1,10,0,12,4,0,6,144,12,3,6,571,1,6,271,2,10,532
0,2,3,3,6,579,0,12,4,12,1,6,263,3,11,529,0,5,143
0,2,10,3,6,652,3,6,582,12,3,11,519,0,6,143,0,11,3
3,1,10,3,11,527,3,6,655,12,0,6,136,0,12,4,2,5,584
3,1,10,3,8,641,3,11,530,12,0,12,4,3,6,581,2,5,657
3,1,10,3,6,500,3,8,644,12,3,6,571,3,6,654,2,10,532
3,1,10,3,6,564,3,6,503,12,3,6,641,3,11,529,2,7,646
3,1,10,0,12,4,3,6,567,12,3,11,519,3,8,643,2,5,505
3,1,10,3,6,514,0,12,4,12,3,8,630,3,6,502,2,5,569
0,2,10,3,3,585,3,6,517,12,3,6,492,3,6,566,0,11,3
3,1,10,3,6,518,3,3,588,12,3,6,556,0,12,4,2,5,519
3,1,10,3,6,579,3,6,521,12,0,12,4,3,6,516,2,2,590
3,1,10,2,6,407,3,6,582,12,3,6,506,3,3,587,2,5,523
3,1,10,0,7,135,2,6,408,12,3,3,577,3,6,520,2,5,584
2,0,10,0,12,4,0,7,135,1,3,6,510,3,6,581,2,5,409
0,2,4,1,6,419,0,12,4,12,3,6,571,2,6,409,0,6,134
