,cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
0,maxmin,cap,I_PESSOA,min,n,órfã,min,v-fin,era,O,0,0,0,0,0,0,alpha,prop,Aurélia
1,min,ncap,O,0,punc,;,min,n,órfã,O,0,0,0,maxmin,prop,Aurélia,alpha,v-fin,era
2,min,ncap,O,min,conj-c,e,0,punc,;,O,maxmin,prop,Aurélia,min,v-fin,era,alpha,n,órfã
3,0,simb,O,min,v-fin,tinha,min,conj-c,e,O,min,v-fin,era,min,n,órfã,0,punc,;
4,min,ncap,O,min,prp,em,min,v-fin,tinha,O,min,n,órfã,0,punc,;,alpha,conj-c,e
5,min,ncap,O,min,pron-det,sua,min,prp,em,O,0,punc,;,min,conj-c,e,alpha,v-fin,tinha
6,min,ncap,O,min,n,companhia,min,pron-det,sua,O,min,conj-c,e,min,v-fin,tinha,alpha,prp,em
7,min,ncap,O,min,art,uma,min,n,companhia,O,min,v-fin,tinha,min,prp,em,alpha,pron-det,sua
8,min,ncap,O,min,adj,velha,min,art,uma,O,min,prp,em,min,pron-det,sua,alpha,n,companhia
9,min,ncap,O,min,n,parenta,min,adj,velha,O,min,pron-det,sua,min,n,companhia,alpha,art,uma
10,min,ncap,O,0,punc,",",min,n,parenta,O,min,n,companhia,min,art,uma,alpha,adj,velha
11,min,ncap,O,min,n,viúva,0,punc,",",O,min,art,uma,min,adj,velha,alpha,n,parenta
12,0,simb,O,0,punc,",",min,n,viúva,O,min,adj,velha,min,n,parenta,0,punc,","
13,min,ncap,O,0,n,D.,0,punc,",",O,min,n,parenta,0,punc,",",alpha,n,viúva
14,0,simb,O,maxmin,v-fin,Firmina,0,n,D.,O,0,punc,",",min,n,viúva,0,punc,","
15,0,cap,I_PESSOA,maxmin,n,Mascarenhas,maxmin,v-fin,Firmina,I_PESSOA,min,n,viúva,0,punc,",",0,n,D.
16,maxmin,cap,I_PESSOA,0,punc,",",maxmin,n,Mascarenhas,I_PESSOA,0,punc,",",0,n,D.,alpha,v-fin,Firmina
17,maxmin,cap,I_PESSOA,min,conj-s,que,0,punc,",",I_PESSOA,0,n,D.,maxmin,v-fin,Firmina,alpha,n,Mascarenhas
18,0,simb,O,min,adv,sempre,min,conj-s,que,O,maxmin,v-fin,Firmina,maxmin,n,Mascarenhas,0,punc,","
19,min,ncap,O,min,art,a,min,adv,sempre,O,maxmin,n,Mascarenhas,0,punc,",",alpha,conj-s,que
20,min,ncap,O,min,v-fin,acompanhava,min,art,a,O,0,punc,",",min,conj-s,que,alpha,adv,sempre
21,min,ncap,O,min,n,na,min,v-fin,acompanhava,O,min,conj-s,que,min,adv,sempre,alpha,art,a
22,min,ncap,O,min,n,sociedade,min,n,na,O,min,adv,sempre,min,art,a,alpha,v-fin,acompanhava
23,min,ncap,O,0,punc,.,min,n,sociedade,O,min,art,a,min,v-fin,acompanhava,alpha,n,na
24,min,ncap,O,0,0,0,0,punc,.,O,min,v-fin,acompanhava,min,n,na,alpha,n,sociedade
25,0,simb,O,0,0,0,0,0,0,O,min,n,na,min,n,sociedade,0,punc,.
