,cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
0,maxmin,cap,O,min,n,chama,min,pron-pers,se,O,0,0,0,0,0,0,alpha,adv,Como
1,min,ncap,O,0,punc,?,min,n,chama,O,0,0,0,maxmin,adv,Como,alpha,pron-pers,se
2,min,ncap,O,0,0,0,0,punc,?,O,maxmin,adv,Como,min,pron-pers,se,alpha,n,chama
3,0,simb,O,0,0,0,0,0,0,O,min,pron-pers,se,min,n,chama,0,punc,?
4,0,cap,B_PESSOA,maxmin,adv,Afonso,0,prop,Gonï¿½alves,O,0,0,0,0,0,0,0,prop,Jï¿½lia
5,0,cap,I_PESSOA,0,punc,.,maxmin,adv,Afonso,O,0,0,0,0,prop,Jï¿½lia,0,prop,Gonï¿½alves
6,maxmin,cap,I_PESSOA,0,0,0,0,punc,.,O,0,prop,Jï¿½lia,0,prop,Gonï¿½alves,alpha,adv,Afonso
7,0,simb,O,0,0,0,0,0,0,O,0,prop,Gonï¿½alves,maxmin,adv,Afonso,0,punc,.
8,maxmin,cap,O,min,v-fin,tem,min,n,anos,O,0,0,0,0,0,0,alpha,n,Quantos
9,min,ncap,O,0,punc,?,min,v-fin,tem,O,0,0,0,maxmin,n,Quantos,alpha,n,anos
10,min,ncap,O,0,0,0,0,punc,?,O,maxmin,n,Quantos,min,n,anos,alpha,v-fin,tem
11,0,simb,O,0,0,0,0,0,0,O,min,n,anos,min,v-fin,tem,0,punc,?
12,0,simb,B_VALOR,0,punc,.,min,n,anos,B_VALOR,0,0,0,0,0,0,num,num,75
13,min,ncap,I_VALOR,0,0,0,0,punc,.,I_VALOR,0,0,0,0,num,75,alpha,n,anos
14,0,simb,O,0,0,0,0,0,0,O,0,num,75,min,n,anos,0,punc,.
15,maxmin,cap,O,min,art,a,0,v-fin,comeï¿½ou,O,0,0,0,0,0,0,alpha,conj-s,Porque
16,0,ncap,O,min,v-inf,tecer,min,art,a,O,0,0,0,maxmin,conj-s,Porque,0,v-fin,comeï¿½ou
17,min,ncap,O,0,punc,?,min,v-inf,tecer,O,maxmin,conj-s,Porque,0,v-fin,comeï¿½ou,alpha,art,a
18,min,ncap,O,0,0,0,0,punc,?,O,0,v-fin,comeï¿½ou,min,art,a,alpha,v-inf,tecer
19,0,simb,O,0,0,0,0,0,0,O,min,art,a,min,v-inf,tecer,0,punc,?
20,maxmin,cap,O,min,v-fin,ensinou,min,art,a,O,0,0,0,0,0,0,alpha,pron-indp,Quem
21,min,ncap,O,0,punc,?,min,v-fin,ensinou,O,0,0,0,maxmin,pron-indp,Quem,alpha,art,a
22,min,ncap,O,0,0,0,0,punc,?,O,maxmin,pron-indp,Quem,min,art,a,alpha,v-fin,ensinou
23,0,simb,O,0,0,0,0,0,0,O,min,art,a,min,v-fin,ensinou,0,punc,?
24,maxmin,cap,O,min,v-inf,tecer,min,art,a,O,0,0,0,0,0,0,alpha,v-fin,Comecei
25,min,ncap,O,min,conj-s,porque,min,v-inf,tecer,O,0,0,0,maxmin,v-fin,Comecei,alpha,art,a
26,min,ncap,O,min,v-fin,precisava,min,conj-s,porque,O,maxmin,v-fin,Comecei,min,art,a,alpha,v-inf,tecer
27,min,ncap,O,0,punc,.,min,v-fin,precisava,O,min,art,a,min,v-inf,tecer,alpha,conj-s,porque
28,min,ncap,O,0,0,0,0,punc,.,O,min,v-inf,tecer,min,conj-s,porque,alpha,v-fin,precisava
