cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
1,0,8,1,7,535,1,11,498,3,0,0,0,0,0,0,2,10,719
1,0,8,1,11,764,1,7,540,10,0,0,0,1,11,717,2,10,504
1,0,8,0,7,734,1,11,773,10,1,11,687,1,11,502,2,6,546
1,0,8,0,8,310,0,7,742,10,1,11,476,1,7,544,2,10,786
0,0,8,0,13,5,0,8,310,10,1,7,517,1,11,784,0,6,755
0,2,3,1,7,500,0,13,5,14,1,11,753,0,7,753,3,7,309
0,2,8,0,8,40,1,7,503,14,0,7,723,0,8,307,0,12,4
1,0,8,1,7,500,0,8,40,14,0,8,286,0,13,5,2,6,509
0,2,2,1,11,691,1,7,503,5,0,13,5,1,7,507,3,7,39
1,0,6,1,7,500,1,11,698,12,1,7,481,0,8,40,2,6,509
1,0,6,0,8,214,1,7,503,12,0,8,39,1,7,507,2,10,710
1,0,6,0,13,7,0,8,214,12,1,7,481,1,11,708,2,6,509
0,2,6,0,0,0,0,13,7,12,1,11,678,1,7,507,3,7,213
0,2,8,0,0,0,0,0,0,14,1,7,481,0,8,212,0,12,6
1,0,8,1,7,508,1,11,815,14,0,0,0,0,0,0,2,2,759
1,0,8,1,7,622,1,7,513,14,0,0,0,1,3,757,2,10,828
1,0,8,1,11,561,1,7,627,14,1,3,727,1,11,826,2,6,519
1,0,8,1,7,500,1,11,566,3,1,11,792,1,7,517,2,6,636
1,0,8,1,7,535,1,7,503,10,1,7,491,1,7,634,2,10,572
1,0,8,0,13,5,1,7,540,10,1,7,604,1,11,570,2,6,509
1,0,8,1,11,443,0,13,5,10,1,11,541,1,7,507,2,6,546
0,2,8,1,4,531,1,11,446,14,1,7,481,1,7,544,0,12,4
1,0,1,1,11,880,1,4,536,14,1,7,517,0,13,5,2,10,451
1,0,8,1,7,508,1,11,892,14,0,13,5,1,11,449,2,3,542
1,0,8,1,7,541,1,7,513,14,1,11,424,1,4,540,2,10,907
1,0,8,1,7,839,1,7,546,14,1,4,513,1,11,904,2,6,519
1,0,8,0,13,5,1,7,851,14,1,11,869,1,7,517,2,6,552
1,0,8,3,17,1116,0,13,5,14,1,7,491,1,7,550,2,6,865
0,2,8,3,2,959,3,17,1130,14,1,7,523,1,7,862,0,12,4
3,1,8,3,17,1009,3,2,973,14,1,7,827,0,13,5,2,16,1145
3,1,8,2,7,781,3,17,1023,14,0,13,5,3,17,1141,2,1,988
3,1,8,1,11,695,2,7,790,14,3,17,1102,3,2,984,2,16,1038
2,0,8,0,7,1121,1,11,702,3,3,2,947,3,17,1034,2,6,803
1,0,8,0,7,273,0,7,1135,10,3,17,997,2,7,801,2,10,714
0,1,8,0,13,5,0,7,273,14,2,7,769,1,11,712,0,6,1150
0,2,8,3,12,1013,0,13,5,14,1,11,682,0,7,1146,3,6,272
0,2,8,0,8,262,3,12,1027,14,0,7,1107,0,7,270,0,12,4
3,1,8,0,13,5,0,8,262,14,0,7,250,0,13,5,2,11,1042
0,2,2,3,17,1174,0,13,5,14,0,13,5,3,12,1038,0,7,261
0,2,8,3,7,1115,3,17,1189,14,3,12,1001,0,8,259,0,12,4
3,1,8,1,7,510,3,7,1129,14,0,8,241,0,13,5,2,16,1204
3,1,8,3,12,1013,1,7,515,14,0,13,5,3,17,1200,2,6,1144
1,0,1,0,7,266,3,12,1027,14,3,17,1160,3,7,1140,2,6,521
3,1,5,0,13,5,0,7,266,14,3,7,1101,1,7,519,2,11,1042
0,2,5,3,7,1115,0,13,5,14,1,7,493,3,12,1038,0,6,265
0,2,8,3,7,1243,3,7,1129,14,3,12,1001,0,7,263,0,12,4
3,1,8,3,12,1013,3,7,1258,14,0,7,244,0,13,5,2,6,1144
3,1,8,3,9,1225,3,12,1027,14,0,13,5,3,7,1140,2,6,1273
3,1,8,3,7,960,3,9,1240,14,3,7,1101,3,7,1269,2,11,1042
3,1,8,3,7,1090,3,7,974,14,3,7,1226,3,12,1038,2,8,1255
3,1,8,0,13,5,3,7,1104,14,3,12,1001,3,9,1251,2,6,989
3,1,8,3,7,992,0,13,5,14,3,9,1208,3,7,985,2,6,1119
0,2,8,3,3,1129,3,7,1006,14,3,7,948,3,7,1115,0,12,4
3,1,8,3,7,999,3,3,1144,14,3,7,1077,0,13,5,2,6,1021
3,1,8,3,7,1115,3,7,1013,14,0,13,5,3,7,1017,2,2,1159
3,1,8,2,7,786,3,7,1129,14,3,7,980,3,3,1155,2,6,1028
3,1,8,0,8,242,2,7,795,14,3,3,1116,3,7,1024,2,6,1144
